year,ward_number,legacy_education,legacy_graduate,legacy_cases,education_raw,graduate_plus,pending_cases,source_url,graduate_disagreement
2012,14,NA,NA,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=113,NA
2012,3,NA,NA,0,Not Given,NA,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=420,NA
2012,160,10th Pass,0,0,NA,NA,NA,NA,NA
2012,182,10th Pass,0,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=313,TRUE
2012,225,Literate,0,0,NA,NA,NA,NA,NA
2012,232,Graduate,1,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=363,TRUE
2012,159,Graduate,1,0,Post Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=567,FALSE
2012,246,NA,NA,0,Graduate Professional,1,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=377,NA
2012,68,Post Graduate,1,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=168,TRUE
2012,175,12th Pass,0,0,Literate,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=306,FALSE
2012,235,8th Pass,0,0,Post Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=366,TRUE
2012,260,Not Given,NA,0,Post Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=1706,NA
2012,203,10th Pass,0,0,NA,NA,NA,NA,NA
2012,4,10th Pass,0,0,Not Given,NA,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=654,NA
2012,93,12th Pass,0,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=193,TRUE
2012,86,Graduate,1,0,Others,NA,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=1415,NA
2012,2,Graduate,1,1,Graduate,1,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=404,FALSE
2012,28,Post Graduate,1,0,NA,NA,NA,NA,NA
2012,83,10th Pass,0,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=499,FALSE
2012,27,12th Pass,0,0,NA,NA,NA,NA,NA
2012,253,8th Pass,0,0,Not Given,NA,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=668,NA
2012,19,Doctorate,1,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=436,FALSE
2012,5,5th Pass,0,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=405,FALSE
2012,176,10th Pass,0,NA,NA,NA,NA,NA,NA
2012,156,8th Pass,0,3,Post Graduate,1,2,https://www.myneta.info/mcd2012/candidate.php?candidate_id=563,TRUE
2012,141,Literate,0,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=553,TRUE
2012,128,Graduate Professional,1,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=2145,TRUE
2012,254,10th Pass,0,0,NA,NA,NA,NA,NA
2012,23,8th Pass,0,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=126,FALSE
2012,7,Graduate,1,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=423,TRUE
2012,80,Graduate,1,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=180,FALSE
2012,249,Post Graduate,1,0,8th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=1906,TRUE
2012,174,12th Pass,0,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=2398,TRUE
2012,133,8th Pass,0,0,Graduate Professional,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=2175,TRUE
2012,189,Post Graduate,1,0,8th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=320,TRUE
2012,190,10th Pass,0,0,Graduate Professional,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=597,TRUE
2012,129,NA,NA,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=541,NA
2012,180,8th Pass,0,0,Post Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=587,TRUE
2012,210,8th Pass,0,1,Graduate,1,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=620,TRUE
2012,153,8th Pass,0,1,Post Graduate,1,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=246,TRUE
2012,178,Post Graduate,1,1,10th Pass,0,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=585,TRUE
2012,76,5th Pass,0,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=1697,TRUE
2012,92,12th Pass,0,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=192,FALSE
2012,233,10th Pass,0,0,8th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=643,FALSE
2012,13,10th Pass,0,0,Literate,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=430,FALSE
2012,139,10th Pass,0,0,Post Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=2270,TRUE
2012,240,12th Pass,0,0,8th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=371,FALSE
2012,241,Graduate,1,0,Post Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=372,FALSE
2012,245,10th Pass,0,0,Post Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=660,TRUE
2012,194,8th Pass,0,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=325,FALSE
2012,95,Graduate,1,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=195,TRUE
2012,12,NA,NA,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=406,NA
2012,234,10th Pass,0,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=646,FALSE
2012,230,10th Pass,0,1,5th Pass,0,2,https://www.myneta.info/mcd2012/candidate.php?candidate_id=1463,FALSE
2012,216,8th Pass,0,1,12th Pass,0,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=626,FALSE
2012,255,12th Pass,0,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=1819,FALSE
2012,231,Graduate,1,0,NA,NA,NA,NA,NA
2012,262,5th Pass,0,0,8th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=989,FALSE
2012,195,12th Pass,0,NA,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=844,TRUE
2012,192,Graduate,1,0,8th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=323,TRUE
2012,41,10th Pass,0,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=142,FALSE
2012,111,Post Graduate,1,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=523,FALSE
2012,200,Graduate,1,0,Post Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=2413,FALSE
2012,264,NA,NA,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=395,NA
2012,122,NA,NA,0,Post Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=217,NA
2012,164,Illiterate,0,0,Others,NA,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=295,NA
2012,227,Graduate,1,0,NA,NA,NA,NA,NA
2012,85,8th Pass,0,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=501,TRUE
2012,74,NA,NA,0,Post Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=490,NA
2012,151,Literate,0,NA,10th Pass,0,1,https://www.myneta.info/mcd2012/candidate.php?candidate_id=411,FALSE
2012,16,12th Pass,0,0,5th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=433,FALSE
2012,20,NA,NA,0,12th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=123,NA
2012,201,5th Pass,0,0,NA,NA,NA,NA,NA
2012,79,5th Pass,0,0,8th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=1866,FALSE
2012,109,12th Pass,0,3,10th Pass,0,3,https://www.myneta.info/mcd2012/candidate.php?candidate_id=207,FALSE
2012,118,Illiterate,0,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=213,FALSE
2012,117,Graduate,1,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=212,FALSE
2012,259,8th Pass,0,0,NA,NA,NA,NA,NA
2012,8,10th Pass,0,0,Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=111,TRUE
2012,238,Graduate,1,0,10th Pass,0,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=369,TRUE
2012,261,Post Graduate,1,0,Post Graduate,1,0,https://www.myneta.info/mcd2012/candidate.php?candidate_id=392,FALSE
