state,sector,years,offices,fields,use,path,limitations
UP,Rural,2010;2015;2021,Village heads,Education; age; 2021 assets and criminal history,Winner education and age now analyzed; assets and criminal history unused,../local_elections/data/master/master_uttar_pradesh.parquet; candidates_uttar_pradesh.parquet; master_extras.parquet,Byte-pinned integration inputs; resolve source release before final paper
Rajasthan,Rural,2020,Village heads,Education; age; occupation; assets,Education and age now analyzed; occupation and assets unused,../local_elections/data/master/candidates_rajasthan.parquet; master_extras.parquet,Extensive unspecified schooling; all-winner education bounds cross zero
Kerala,Rural,2010;2015;2020,Village wards; block and district council members,Education; age; occupation,Education and age now analyzed by election and office; occupation unused,../local_elections/data/master/master_kerala.parquet; master_extras.parquet,Free-text education; differential missingness
Delhi,Urban,2012,Municipal councillors,Education; assets; liabilities; pending cases; occupation,Unused: 272 marked winners; 237 nonblank education; 264 numeric pending-case entries,../local_elections/data/delhi/delhi_2012_final.csv,Source collection documentation not located; imported in commit 5f2261a5 (2022-11-01)
Delhi,Urban,2017,Municipal councillors,Education; assets; liabilities; pending cases; occupation,Unused: 270 marked winners; 270 nonblank education; 265 numeric pending-case entries,../local_elections/data/delhi/delhi_2017_final.csv,Nonblank education includes Others; source collection documentation not located
Delhi,Urban,2007,Municipal councillors,Assets; some seat reservations,Unused: qualification columns empty among winners,../local_elections/data/delhi/delhi_2007_final.csv,No winner education or cases in those fields; reservation missing for 155 winners
Uttarakhand,Rural,2008;2010;2014;2015;2019,Village heads; block and district members,Candidate and winner flags,No education age occupation or assets populated in candidate companion,../local_elections/data/master/candidates_uttarakhand.parquet,Does not currently answer the elite-qualification question
Haryana,Rural,2016;2022,Village heads; wards,Seat reservation,No winner qualifications in pooled seat/extras tables,../local_elections/data/master/master_haryana.parquet,Reservation data alone cannot answer the question
Bihar,Rural,2016,Six offices,Education; age,Analyzed,../local_elections/data/master/candidates_bihar.parquet,Winner inference and serial ambiguities documented
Bihar,Rural,2021,Village heads,Age; winner flags; current reservation cross-checks,No statewide education estimate,../local_elections/data/master/candidates_bihar.parquet,Education absent in candidate companion; affidavit extraction stopped
Mumbai,Urban,2012;2017,Municipal councillors,Education; age; pending cases,Analyzed,../local_elections/data/maharashtra/mumbai/praja_ward_ratings_2011_2018.csv,One observation per councillor spell
Rajasthan,Urban,2019,Municipal councillors,Education; age,Legacy descriptive table reproduced,../local_elections/data/rajasthan/municipal/,Threshold includes 12th standard
Kerala,Urban,2010;2015;2020,Municipal and corporation ward members,Education; age; occupation,Legacy pooled table; separate urban regressions not run,../local_elections_kerala/data/lsgi-election-kerala.csv,Urban rows omitted from the central rural master; legacy coding preserved separately
