citation,artifact,source_url,version,location,rendering,artifact_sha256
cd,chattopadhyay_duflo_2001_table_3.png,https://www.nber.org/system/files/working_papers/w8615/w8615.pdf,December 2001,"Table 3, panel A",existing excerpt,cf7a5ff8759edf2b9744229481964d88eecd83940743bc9e7885ae53fe5e511b
ban,ban_rao_2007_table_9.png,https://vijayendrarao.org/papers/EDCC_Reservations_to_go.pdf,May 2007,Table 9,existing excerpt,103645d07cd8cc18478b50a0a623ac1b7e508a48f195ca4ca5a6a519f87ef3eb
raabe,raabe_2009_table_4.png,https://cgspace.cgiar.org/server/api/core/bitstreams/c85053d0-fd33-400a-b7bb-05a04874175f/content,2009,Table 4,existing excerpt,61da4e3920e4d745cf886b4140ff2163b5b6852242e8f8d7631a034a4d2dc833
beaman,beaman_2009_table_2.png,https://www.povertyactionlab.org/sites/default/files/research-paper/310%20Female%20Quotas%20Nov%2009.pdf,published 2009,"Table II, printed p.1507","PDF page 11 rotated 90 degrees, rendered at 2.2x",0aff7c63a734bff91b3497462ee4ad0d0413b07e610924cbd93e653e862f73f2
deininger,deininger_2011_table_3.png,https://documents1.worldbank.org/curated/en/595231468040603055/pdf/WPS5708.pdf,June 2011,"Table 3, printed p.22","PDF page 24, rendered at 1600px",cbd53d6a7594446bac7a7349d97094e7716c9e3cdbd098df64a56f506d309732
afridi,afridi_2013_table_2.png,https://docs.iza.org/dp7212.pdf,February 2013,"Table 2, printed p.38","PDF page 40, rendered at 1600px",9e4a98ff0bc66956db35e26c689303aef645f6b7c377d488e5e335bd0e8e1303
mori,mori_2022_figure_2.png,https://www.isid.ac.in/~epu/acegd2022/papers/Yuko_Mori.pdf,September 15 2022,"Figure 2, cognitive and reading panels","PDF page 24, rendered at 1800px",f2f74deb5f9575a1abc82063d8b02d72119773e8ae69542f4deb1eb78ad66123
bamezai,bamezai_2026_table_7.png,https://www.mrsharan.com/papers/political-selection.pdf,March 26 2026,"Table 7, p.44",existing excerpt,143d447e48b3dd640bef544aab6ac35c81e62280167e9aec18594ec416da350d
mori,mori_2022_figure_2_education.png,https://www.isid.ac.in/~epu/acegd2022/papers/Yuko_Mori.pdf,September 15 2022,"Figure 2, education and self-assessed leadership panels","PDF page 25, rendered at 1.8x",85b739ef6d061f6c649123abcdd7f311f11038af2a8394e005363f2152e58dd7
auerbach,auerbach_2025_figure_5.png,https://doi.org/10.1017/S0003055424000297,Published 2025; online 2024,Figure 5; p. 719; partial associations,PDF crop at 144 dpi; rotation 0,6c3a25f5d5494b4b64ea1046c6fb42304b1811048ab032717cdce63b12790724
auerbach,auerbach_2025_table_3.png,https://doi.org/10.1017/S0003055424000297,Published 2025; online 2024,Table 3; p. 721; education age income and experience correlates,PDF crop at 144 dpi; rotation 0,e1ef7c2cf1e63374c9b72073a73c1de8de90564bba0df4dcdeb49704df1fdd2d
jaineducation,jain_2022_table_2.png,https://docs.iza.org/dp15278.pdf,May 2022 working paper,Table 2; printed p. 45; PDF p. 47,PDF crop at 144 dpi; rotation 0,8b63b1d89f36d15e1c033410010a9d02b481bda6362a5558ef7076f38ae2486f
besleyrewards,besley_pande_rao_2007_table_4.png,https://vijayendrarao.org/papers/justrewards_oct07.pdf,October 2007 draft,Table 4; PDF p. 33; politician education interaction,PDF crop at 144 dpi; rotation 0,2787e66a3e1efd430781952a5eba78539c10a4011eb4ce217d7246f1b7ef987d
besleyrewards,besley_pande_rao_2007_table_5.png,https://vijayendrarao.org/papers/justrewards_oct07.pdf,October 2007 draft,Table 5; PDF p. 34; targeting to landless households,PDF crop at 144 dpi; rotation 0,2d3935cba4446ee693d77a2e0a5c7434369d167aa90d01d724649d73ae1c9dbe
fismanwealth,fisman_2014_table_4.png,https://vikrantvig.com/assets/papers/2014_JPE.pdf,Published 2014,Table 4; p. 831; wealth growth after election,PDF crop at 144 dpi; rotation 0,c6c18108f608955ee5049522e7c8cae00eba14cd8d3864563a5e9637819f4494
carneslupu,carnes_lupu_2016_table_3.png,https://noamlupu.com/leader_education.pdf,Published 2016,Table 3; p. 46; Brazilian mayors,PDF crop at 144 dpi; rotation 90,6e8134d76d04f0cb401fcc303fe4fec7a61b10a027c062d07a92ea644894208a
joshi,,https://journals.sagepub.com/doi/pdf/10.1177/00195561241284449?download=true,Published 2025,Methods pp. 56-57 and Table 3 p. 58; publisher PDF inspected through browser,Primary text verified; no excerpt image,
lahotisahoo,,https://research.iimb.ac.in/fac_pubs/372/,Published 2020,Author institution metadata and published abstract; no numerical table transcribed,Primary text verified; no excerpt image,
prakash,,https://damore-mckim.northeastern.edu/wp-content/uploads/2023/03/Do-Criminally-Accused-Politicians-Affect-Economic-Outcomes.pdf,Published 2019,Abstract and Section 6; DOI checked against published PDF,Primary text verified; no excerpt image,
alesinaage,,https://traviss-cassidy.com/published/Old-and-Young-Politicians.pdf,Published 2019,Tables 5-7; age budget cycles house prices and provision speed,Primary text verified; no excerpt image,
delhi2012data,../output/delhi/source_comparison.csv,https://github.com/in-rolls/local_elections/blob/5f2261a57435c6029a15697b96432012ee20b5de/data/delhi/delhi_2012_final.csv,Imported 2022-11-01,Legacy graduate coding compared with individual source profiles,Machine-readable source discrepancy audit; not the primary qualification input,
delhi2017data,../output/delhi/source_comparison.csv,https://github.com/in-rolls/local_elections/blob/5f2261a57435c6029a15697b96432012ee20b5de/data/delhi/delhi_2017_final.csv,Imported 2022-11-01,Legacy graduate coding compared with individual source profiles,Machine-readable source discrepancy audit; not the primary qualification input,
delhi2012seats,,https://sec.delhi.gov.in/sites/default/files/SEC/circulars-orders/notification-regarding-reservation-seats-2012_1.pdf,27 January 2012,Annexures I-III,Official schedule; checked through source text,
delhigoyal,,https://doi.org/10.7910/DVN/9XPV4I,V1.0; published 11 October 2023,2012/2017 winner roster and ward-to-assembly mapping,Downloaded source files pinned upstream,
delhikarekurve,,https://doi.org/10.7910/DVN/0QOVCH,V1.1; published 9 January 2020,datasetfull.tab; legacy graduate coding cross-check,Downloaded source files pinned upstream,
delhi2022results,,https://data.opencity.in/dataset/delhi-mcd-elections-2022,Created 21 August 2023; modified 27 November 2025,Vaidyanathan R; source Lok Dhaba; Position 1 winner roster only,CSV pinned upstream; not used for qualifications,
delhi2022seats,delhi_2022_reservation_annexure_b.png,https://sec.delhi.gov.in/sites/default/files/SEC/generic_multiple_files/reservationorder_0.pdf,20 October 2022,Annexure B; PDF pages 11-16; full 250-ward roster,PDF page 11 Annexure B crop; rectangle 45 480 550 795 points; rendered at 216 dpi,95d870ae790df866a7158fa12185ee562265ad7b7dd5a020caf46a1017306c10
delhimyneta,../output/delhi/source_links.csv,https://www.myneta.info/Delhi2022/index.php?action=show_winners&sort=default,Retrieved September 2026,2012/2017/2022 individual winner profiles; URLs capture dates and body hashes in linked artifact,Source profiles cached upstream; pending tables parsed separately from convictions,
delhiadr2022,delhi_2022_adr_education.png,https://adrindia.org/sites/default/files/MCD_Elections_2022_Analysis_of_Criminal_and_Financial_background%20_details_of_Winning_Candidates._English.pdf,8 December 2022,Page 3 omitted winners; page 4 all criminal records; page 17 education counts,PDF page 17 rendered at 144 dpi,f5ef3c7a40fc1b0f9442a83959439b5b5ae11e6d260ead2c11560430f733e009
