tier,geography,outcome,estimate,se,conf_low,conf_high,p,n,clusters,primary,state,year
gp_head,block_id,graduate_plus,-0.15031660487870122,0.0079229230132346,-0.16588133721288292,-0.1347518725445195,1.9379293399129163e-61,7908,523,TRUE,Bihar,2016
gp_head,block_id,illiterate,0.01481195730698898,0.00292948848564474,0.00905692168705903,0.02056699292691893,5.930711096492283e-7,7908,523,TRUE,Bihar,2016
gp_head,block_id,age,-3.602906819514327,0.23899249889284124,-4.072410024350121,-3.1334036146785347,6.5931885827157134e-43,7969,524,TRUE,Bihar,2016
kachahari_member,block_id,graduate_plus,-0.02811349165727188,0.00128571224476337,-0.03063937750104769,-0.02558760581349607,1.8426388965148915e-75,85385,516,TRUE,Bihar,2016
kachahari_member,block_id,illiterate,0.14802136536493848,0.00434969343182001,0.13947604030565913,0.15656669042421784,7.267889909827057e-134,85385,516,TRUE,Bihar,2016
kachahari_member,block_id,age,-2.917287794235129,0.10504133867544473,-3.123650012104802,-2.7109255763654563,1.944360743591323e-104,85406,516,TRUE,Bihar,2016
block_member,block_id,graduate_plus,-0.1071347340276841,0.00631015311770929,-0.11953137181333214,-0.09473809624203608,1.0025573571667456e-51,10769,519,TRUE,Bihar,2016
block_member,block_id,illiterate,0.03186078526778325,0.00371315532545476,0.02456609039226131,0.03915548014330519,1.1033154571415493e-16,10769,519,TRUE,Bihar,2016
block_member,block_id,age,-2.68624375631797,0.2091454072640807,-3.0971212437609132,-2.275366268875027,5.656473488168443e-33,10801,519,TRUE,Bihar,2016
kachahari_head,block_id,graduate_plus,-0.1208652994283156,0.0065789106548205,-0.13378980954673703,-0.10794078930989416,1.831156047534597e-58,7864,521,TRUE,Bihar,2016
kachahari_head,block_id,illiterate,0.04621973114896007,0.00485157236484352,0.03668864015082813,0.05575082214709202,6.134432675648485e-20,7864,521,TRUE,Bihar,2016
kachahari_head,block_id,age,-5.6685764384512565,0.26226844077477757,-6.183812363421986,-5.153340513480527,2.1211546967488366e-74,7894,521,TRUE,Bihar,2016
gp_ward,block_id,graduate_plus,-0.04564371236871641,0.00159491068667028,-0.04877702929206412,-0.04251039544536871,1.3791016017390414e-108,97278,517,TRUE,Bihar,2016
gp_ward,block_id,illiterate,0.11551643484601072,0.00398532083464725,0.107686985008766,0.1233458846832554,2.3792111812517412e-110,97278,517,TRUE,Bihar,2016
gp_ward,block_id,age,-1.9987445679217908,0.0864542027968191,-2.1685900765021775,-1.828899059341404,1.0850897379791518e-81,97289,517,TRUE,Bihar,2016
zp_member,district,graduate_plus,-0.13041678978323398,0.02873844305891983,-0.18864640650840855,-0.0721871730580594,5.818234200217112e-5,889,38,TRUE,Bihar,2016
zp_member,district,illiterate,0.01628689843773223,0.00850602093797714,-9.479370771648504e-4,0.03352173395262932,0.06328045309230147,889,38,TRUE,Bihar,2016
zp_member,district,age,-4.1394750486504215,0.7381430334586148,-5.63509489968171,-2.643855197619133,2.132681737193624e-6,892,38,TRUE,Bihar,2016
gp_head,district,graduate_plus,-0.13089570191008962,0.00691249276534495,-0.14467882101483007,-0.11711258280534916,1.8179696232447117e-29,51566,72,NA,Uttar Pradesh,2010
gp_head,district,illiterate,0.062755062101749,0.00581547658066235,0.05115933114287573,0.07435079306062227,1.2797231517697963e-16,51566,72,NA,Uttar Pradesh,2010
gp_head,district,age,-1.4186854440577297,0.10817572363369476,-1.6343817107590366,-1.2029891773564227,1.1979715501723583e-20,51662,72,NA,Uttar Pradesh,2010
gp_head,block_id,graduate_plus,-0.09068228662791376,0.00303281176899281,-0.09663525376793232,-0.0847293194878952,1.6130827892281107e-133,59019,823,NA,Uttar Pradesh,2015
