tier,quota,n,education_n,age_n,illiterate,graduate_plus,age
gp_head,0,4516,4473,4514,0.0111781801922647,0.22334004024144868,42.39477182100134
gp_head,1,3426,3400,3420,0.02411764705882353,0.08147058823529411,39.00614035087719
kachahari_member,0,49264,49085,49105,0.14538046246307426,0.03754711215238871,44.123958863659134
kachahari_member,1,36428,36270,36271,0.29236283429831816,0.01003584229390681,41.36323784841945
block_member,0,5917,5884,5906,0.01750509857239973,0.15992522093813732,39.347104639349865
block_member,1,4876,4859,4869,0.04918707552994443,0.05639020374562667,36.783939207229395
kachahari_head,0,4463,4435,4460,0.018038331454340473,0.161217587373168,45.49125560538115
kachahari_head,1,3418,3406,3411,0.06341749853200235,0.04286553141514973,40.080914687774886
gp_ward,0,55109,54950,54944,0.06635122838944495,0.059344858962693356,40.424668753640375
gp_ward,1,42406,42250,42267,0.17862721893491124,0.015242603550295858,38.46887642841889
zp_member,0,496,493,495,0.006085192697768763,0.3184584178498986,41.2989898989899
zp_member,1,398,395,396,0.017721518987341773,0.20253164556962025,36.81565656565657
